id,word,phonetic,part_of_speech,definition,example_yoruba,example_english,contributor_id,status,created_at
0ac4c9d1-092f-45b6-9251-96eea7008d4c,Ilé,ile,noun,house or home,Mo wà ní ilé,I am at home,,approved,2026-03-30 12:32:11+00
159fe28c-cebf-429b-888a-379c8bec0fe7,Ẹ̀kọ́,eko,noun,education or lesson,Ẹ̀kọ́ ṣe pàtàkì,Education is important,,approved,2026-03-30 12:32:11+00
166ba718-e10d-4110-aa08-6c5720c6f3a8,Dúró,duro,verb,to wait or stop,Dúró díẹ̀,Wait a bit,,approved,2026-03-30 12:32:11+00
1c94c8cf-ecdf-48e7-bad9-6df63fc0e955,Hàn,han,verb,to show,Hàn mí,Show me,,approved,2026-03-30 12:32:11+00
26d67302-f496-4059-a6fb-393e967a2ad2,Lọ,lo,verb,to go,Mo ń lọ,I am going,,approved,2026-03-30 12:32:11+00
2741af14-63dd-4a18-a1c7-c502ab4cf4fd,Rí,ri,verb,to see,Mo rí i,I saw it,,approved,2026-03-30 12:32:11+00
2be4a703-cd64-4c2c-9af0-b9bc5f34306f,Gbọ́,gbo,verb,to hear,Gbọ́ mi,Listen to me,,approved,2026-03-30 12:32:11+00
35b3ee1e-9dbc-4e09-be75-6085116245d0,Bàbá,baba,noun,father,Bàbá mi wà nílé,My father is at home,,approved,2026-03-30 12:32:11+00
3e42dcda-1906-4164-a19f-d567ee4ce562,Mọ̀,mo,verb,to know,Mo mọ̀ ọ,I know you,,approved,2026-03-30 12:32:11+00
4d3d6f03-cca9-4598-aa81-cc8fe164d62c,Jẹ́,je,verb,to eat,Jẹ́ oúnjẹ,Eat food,,approved,2026-03-30 12:32:11+00
54e9e986-3b7b-4ab4-9831-0e1c262204d3,Àbá,aba,noun,suggestion or idea,Mo ní àbá kan,I have an idea,,approved,2026-03-30 12:32:11+00
56120973-ea5d-4604-a703-eeeda933dce4,Ọmọ,omo,noun,child,Ọmọ náà ń sun,The child is sleeping,,approved,2026-03-30 12:32:11+00
56549713-317e-49cc-9212-449672a2f88e,Sọ́,so,verb,to speak,Sọ́ otitọ,Say the truth,,approved,2026-03-30 12:32:11+00
624425e6-bb3d-449c-82be-6b1f182ec669,Kọ́,ko,verb,to learn or teach,Mo fẹ́ kọ́,I want to learn,,approved,2026-03-30 12:32:11+00
6a63c824-e597-4bf0-9e2f-f2daff4bb817,Ní,ni,preposition,in or at,Mo wà ní ilé,I am at home,,approved,2026-03-30 12:32:11+00
71a6537b-9adf-4ded-9160-3128b0a6409a,Tí,ti,conjunction,that or which,Ohun tí mo rí,What I saw,,approved,2026-03-30 12:32:11+00
746ac6af-a6ff-405b-b857-b4b19814ed1a,Yá,ya,verb,to tear or separate,Aṣọ yá,The cloth tore,,approved,2026-03-30 12:32:11+00
b8471863-0e88-43a3-a8f3-d48a8d06108c,Wá,wa,verb,to come,Wá síbí,Come here,,approved,2026-03-30 12:32:11+00
c934b131-dd79-4d3d-a5a2-6cc5650b698d,Ùn,un,pronoun,that (demonstrative),Ùn ni,That is it,,approved,2026-03-30 12:32:11+00
c9ed0b46-1e6e-405b-86fa-32c4e9f2b447,Ṣe,ṣe,verb,to do,Ṣe e dáadáa,Do it well,,approved,2026-03-30 12:32:11+00
d6937309-5ac8-4842-9a34-a1edff4e5e9f,Gbà,gba,verb,to receive or accept,Gbà á,Accept it,,approved,2026-03-30 12:32:11+00
ee1574e1-23db-4a17-a500-bd61e97cdacb,Fẹ́,fe,verb,to love or want,Mo fẹ́ rẹ,I love you,,approved,2026-03-30 12:32:11+00
f0647bf7-195d-4a5e-8782-2908d30f254c,Ọjọ́,ojo,noun,day,Ọjọ́ oni dára,Today is good,,approved,2026-03-30 12:32:11+00
fc3e6b13-c1fc-4d82-9019-17c8f22305fc,Èmi,emi,pronoun,I or me,Èmi ni mo ṣe e,I did it,,approved,2026-03-30 12:32:11+00
fd242418-57a6-4c10-b04a-d9b5411185b5,Pẹ̀lú,pelu,preposition,with,Mo wà pẹ̀lú rẹ,I am with you,,approved,2026-03-30 12:32:11+00
